Supply with	Abastecer
Role	Rivalidad
Stock rotations	Rol
Spanish Radio and Television (RTVE)	Rotación de existencias
Press conference	RTVE Radiotelevisión Española
Noise	Rueda de prensa
Rumour	Ruido
Rupture	Rumor
Rural	Ruptura
Tourist route	Rústico
Minimum wage	Ruta turística
Balance	Salario mínimo
Negative balance	Saldo
Net balance	Saldo negativo
Neutral balance	Saldo neto
Positive balance	Saldo neutro
Output/ Deparchure (means of	Saldo positivo
transport)	Salida
Health	Salud
Health	Sanidad
Satisfaction	Satisfacción
Saturation	Saturación
Secretariat	Secretaría
Sector	Sector
Market segmentation	Segmentación de mercados
Market segment	Segmento de mercado
Follow-up	Seguimiento
Safety/Security	Seguridad
Protection of civil and political rights	Seguridad cívica y política
Tourist insurance	Seguros turísticos o de viajes
Weekly	Semanal
Easter	Semana Santa
Sensibility	Sensibilidad
Tourist signage	Señalización turística
Customer service	Servicio al cliente
Accommodation service	Servicio de alojamiento
Service of animation	Servicio de animación y espectáculos
Information service	Servicio de información
Intermediation service	Servicio de intermediación
Housekeeping	Servicio de pisos
Catering services	Servicio de restauración
Transport service	Servicio de transporte
Air transport service	Servicio de transporte aéreo
Shipping service	Servicio de transporte marítimo
Land transport service	Servicio de transporte terrestre
Services	Servicios
Bank services	Servicios bancarios
Basic services	Servicios básicos
Cumplimentary services	Servicios complementarios
Servuction	Servucción
Trading system	Sistema de comercialización
Franchising system	Sistema de franquicia
Marketing information system	Sistema de información de marketing
Fixed exchange rates system	Sistema de tipo de cambio fijo
Flexible exchange rates system	Sistema de tipo de cambio flexible
Economic system	Sistema económico
Market economic system	Sistema económico de mercado
Mixed economic system	Sistema económico mixto
Planned economy	Sistema económico planificado
Financial system	Sistema financiero
Global Distribution System (GDS)	Sistemas globales de distribución (GDS)
Reseration Information System	Sistemas informatizados de reservas (CRS)
Purchase situation	Situación de compra
Market situation	Situación del mercado
Welfare society	Sociedad del bienestar
Sun	Sol
Sun and sand	Sol y playa
Advertising vehicle	Soporte publicitario
Sustainability	Sostenibilidad
Sustainbale	Sostenible
Spam	Spam
Subcultures	Subculturas
Suite	Suite
Surplus	Superávit
Supervisor	Supervisor
Size	Tamaño
Tangible	Tangible
Tapa	Tapa
Tapeo	Tapeo
Tariff	Tarifa
Credit card	Tarjeta de crédito
Unemployment rate	Tasa de desempleo
Exchange rate	Tasa de variación
Taxonomy	Taxonomía
Projective techniques	Técnicas proyectivas
Information and communications	Tecnologías de la Información y la
technology	Comunicación (TICs)
Telemarketing	Telemarketing
Theme	Tema
High season	Temporada alta
Low season	Temporada baja
Mid season	Temporada media
Tendency	Tendencia
Third age	Tercera edad
Territory	Territorio
Thesis	Tesis
Concept testing	Test de concepto
Market testing	Test de mercado
Texture	Textura
Timeshare	Tiempo compartido
Leisure	Tiempo libre
Shop	Tienda
Ground	Tierra
Exchange rate	Tipo de cambio
Interest rate	Tipo de interés
Ownership	Titularidad
All inclusive	Todo incluido
Work	Trabajo
Passenger flow	Tráfico de pasajeros
Calm	Tranquilidad
Transaction	Transacción
Transition	Transición
Transfer of ownership	Transmisión de propiedad
Transarency	Transparencia
Transport	Transporte
Railway transport	Transporte ferroviario
Maritime transport	Transporte marítimo
Cross-cutting	Transversal
Background	Trasfondo
Transfer	Traslado
Reserves treatment	Tratamiento de las reservas
Train	Tren
Touristique train	Tren turístico
Tipical	Tríptico
Banal	Trivial
Barter	Trueque
Shady	Turbio
Accessible tourism	Turismo accesible
Cultural tourism	Turismo cultural
Adventure tourism	Turismo de aventura
Business tourism	Turismo de congresos
Elite tourism	Turismo de élite
Sun, sea and sand tourism	Turismo de litoral
Mass tourism	Turismo de masas
Domestic tourism	Turismo doméstico
Outbound tourism	Turismo emisor
Special tourism	Turismo específico
Individual tourism	Turismo individual
Internal tourism	Turismo interior
International tourism	Turismo internacional
Itinerant tourism	Turismo itinerante
Nacional tourism	Turismo nacional
Inbound tourism	Turismo receptor
Religious tourism	Turismo religioso
Residental tourism	Turismo residencial
Responsable tourism	Turismo responsable
Rural tourism	Turismo rural
Social tourism	Turismo social
Sustainable tourism	Turismo sostenible
Urban tourism	Turismo urbano
Tourist	Turista
International tourist	Turista internacional
Location	Ubicación
Last minute	Última hora
Treshold	Umbral (de rentabilidad)
Unique	Único
Basic production unit	Unidad básica de producción
Customs union	Unión aduanera
Economic and Monetary Union	Unión económica y monetaria
European union	Unión Europea (UE)
Unitary	Unitaria
Universe	Universo
Use	Uso
Utility	Utilidad
Holidays	Vacaciones
Gap	Vacío
Dishes	Vajilla
Voucher	Vale
Validity	Validez
Bilboard	Valla publicitaria
Value added	Valor añadido
Value	Valores
Vanguard	Vanguardia
Variable	Variable
Variety	Variedad
Speed, velocity	Velocidad
Salesperson	Vendedor
Cross selling	Venta cruzada
Retail	Venta detallista
Wholesale	Venta mayorista
Comparative advantage	Ventaja comparativa
Competitive advantage	Ventaja competitiva
Advantage	Ventajas
Operative advantage	Ventaja operativa
Technological advantage	Ventaja tecnológica
Credibility	Verosimilitud
Sells	Ventas
Version	Versión
Portrait	Vertical
Vertex	Vértice
Tourist package	Viaje hecho a medida
Familirization trips	Viaje de familiarización
Incentive trips	Viaje de incentivo
Life cycle of a product	Vida de un producto
Video	Vídeo
Virtual	Virtual
Visitor	Visitante
Visit	Visita
Give an approval	Visto bueno
Attractive	Vistoso
Housing	Vivienda
Volume	Volumen
Voice	Voz
Charter	Vuelos chárter
Return	Vuelta
Ditch	Zanja
Zone	Zona
Capsize	Zozobra
